image_name,tags
train_16730,clear primary
train_35525,cloudy
train_11352,cloudy
train_2918,agriculture clear primary road
train_6410,clear primary
train_634,agriculture clear primary
train_9525,clear primary
train_35184,clear primary
train_9184,haze primary
train_27617,clear primary water
train_34553,clear water
train_22404,clear primary
train_8385,agriculture clear primary
train_39329,clear primary
train_24655,clear primary
train_2933,haze primary
train_12334,partly_cloudy primary
train_34782,agriculture clear cultivation primary
train_7214,clear primary
train_11423,clear primary
train_1410,haze primary
train_2332,clear primary
train_38601,agriculture cultivation habitation partly_cloudy primary
train_207,bare_ground clear primary road
train_25346,agriculture clear cultivation primary
train_15668,partly_cloudy primary
train_18182,clear primary water
train_25226,agriculture clear primary road water
train_28877,agriculture clear habitation road
train_10364,clear primary
train_24337,clear cultivation primary water
train_33006,agriculture clear habitation primary road
train_31139,clear primary
train_5476,clear primary
train_16438,clear cultivation primary
train_31052,clear primary
train_17074,clear primary
train_10820,clear primary
train_13636,clear primary
train_14929,clear primary
train_18218,agriculture clear primary
train_23794,clear primary
train_36867,blooming clear primary
train_26108,cloudy
train_10966,agriculture clear habitation primary road
train_28464,clear primary
train_30068,clear primary
train_11348,agriculture clear primary water
train_23110,clear primary
train_18754,agriculture clear primary road water
train_31710,haze primary
train_34397,partly_cloudy primary
train_22452,agriculture clear primary
train_27454,agriculture clear conventional_mine cultivation habitation primary road
train_2598,haze primary
train_17225,agriculture clear habitation primary road water
train_16789,clear primary
train_18502,agriculture clear primary road
train_31791,clear primary
train_19399,clear primary selective_logging
train_36205,partly_cloudy primary
train_6673,agriculture clear primary road
train_382,clear primary
train_17491,agriculture clear primary road
train_31603,agriculture clear primary water
train_2491,agriculture clear primary water
train_27771,clear primary water
train_39722,clear primary
train_12879,clear primary
train_26426,agriculture clear primary water
train_9733,agriculture clear primary
train_40402,clear primary
train_32235,clear primary
train_36564,cloudy
train_29358,clear primary road water
train_6615,clear primary
train_5991,agriculture clear primary
train_5300,haze primary
train_26950,clear primary
train_13968,clear primary
train_19436,clear primary
train_15253,clear primary
train_28350,agriculture clear cultivation primary road
train_6310,agriculture clear primary
train_26309,agriculture clear primary
train_13423,clear primary
train_32076,haze primary
train_282,partly_cloudy primary
train_34718,agriculture clear primary road
train_23288,clear cultivation primary
train_14124,clear primary
train_35098,clear water
train_19784,clear primary
train_25794,clear primary
train_31416,partly_cloudy primary
train_11598,agriculture clear primary road
train_21062,clear primary
train_35133,agriculture partly_cloudy primary road
train_33761,partly_cloudy primary
train_36715,partly_cloudy primary
train_9271,agriculture clear primary water
train_17164,clear primary
train_1515,clear primary
train_38125,agriculture clear primary
train_16478,agriculture clear primary water
train_3136,cloudy
train_8478,cloudy
train_23823,clear primary
train_30049,clear primary
train_25,clear primary
train_8679,agriculture partly_cloudy primary
train_27458,agriculture clear
train_23060,clear primary
train_23489,agriculture habitation partly_cloudy primary road
train_28551,agriculture clear cultivation habitation primary
train_10382,haze primary
train_1180,clear primary
train_24517,agriculture clear primary water
train_21148,clear primary
train_14242,partly_cloudy primary
train_22220,haze primary water
train_21907,clear primary
train_9425,partly_cloudy primary
train_247,agriculture clear cultivation habitation primary road selective_logging
train_29848,agriculture clear primary
train_7323,cloudy
train_37367,clear primary
train_7675,cloudy
train_5048,clear primary water
train_16873,agriculture clear primary water
train_13382,clear primary
train_30568,partly_cloudy primary
train_24349,clear primary
train_11087,haze primary
train_2025,clear primary
train_13089,partly_cloudy primary
train_11206,clear primary water
train_38540,clear primary water
train_12496,agriculture partly_cloudy primary
train_1517,cultivation habitation partly_cloudy primary
train_4249,agriculture clear primary road
train_28383,partly_cloudy primary
train_29300,agriculture clear cultivation primary
train_12000,clear primary
train_12619,agriculture clear primary road
train_28155,agriculture habitation haze primary road
train_13590,clear primary
train_7278,partly_cloudy primary
train_1597,agriculture partly_cloudy primary
train_214,clear primary
train_15348,haze primary
train_1468,partly_cloudy primary water
train_1654,clear primary
train_40127,agriculture partly_cloudy primary
train_30523,clear primary
train_29230,agriculture clear habitation primary road
train_31675,clear cultivation primary
train_20420,clear primary
train_37398,partly_cloudy primary
train_7236,partly_cloudy primary
train_13678,partly_cloudy primary
train_7358,clear primary
train_7436,clear primary
train_23227,clear primary
train_25446,agriculture clear habitation primary road
train_20165,partly_cloudy primary
train_28932,agriculture cultivation partly_cloudy primary
train_10441,haze primary
train_15009,agriculture clear primary road
train_14330,partly_cloudy primary
train_26197,haze primary
train_30424,clear primary
train_50,cloudy
train_22667,partly_cloudy primary
train_40235,clear primary
train_4383,clear primary
train_21220,agriculture clear cultivation primary
train_6844,partly_cloudy primary
train_6420,agriculture clear cultivation primary
train_23481,haze primary
train_34398,agriculture partly_cloudy primary
train_20878,agriculture clear primary road
train_7648,clear primary
train_33939,clear primary
train_34103,agriculture clear primary water
train_37805,haze primary
train_23457,clear primary
train_37180,cloudy
train_29569,clear primary
train_26704,cloudy
train_25576,agriculture clear primary road
train_493,clear primary
train_38184,haze primary water
train_10651,clear primary
train_1178,agriculture clear habitation primary road
train_35786,haze primary
train_8177,clear primary water
train_40238,clear water
train_1095,agriculture partly_cloudy primary
train_21320,clear primary
train_25510,agriculture clear primary road
train_18641,clear primary
train_36668,clear primary
train_25861,haze primary
train_24940,haze primary water
train_20738,partly_cloudy primary
train_27053,agriculture clear primary
train_38105,haze primary
train_39112,clear primary road water
train_22660,clear primary road water
train_31499,clear primary
train_15703,clear primary
train_36193,clear primary
train_25063,clear primary
train_23145,partly_cloudy primary
train_24881,clear cultivation primary
train_9365,agriculture bare_ground clear habitation primary road
train_37995,haze primary water
train_33660,agriculture clear cultivation primary road
train_9505,agriculture clear primary road water
train_7309,agriculture clear cultivation primary road
train_19770,partly_cloudy primary
train_27447,clear primary
train_12589,agriculture bare_ground clear cultivation primary slash_burn
train_18665,clear primary
train_14642,clear primary
train_12731,agriculture clear primary road
train_6203,agriculture clear primary road
train_16926,bare_ground clear primary road
train_28909,clear primary water
train_29228,agriculture blooming clear primary
train_16102,clear primary
train_15810,clear primary
train_11151,clear primary
train_8308,agriculture habitation partly_cloudy primary road
train_11556,clear primary
train_1725,agriculture clear habitation primary road water
train_38903,partly_cloudy primary
train_11298,agriculture clear habitation primary road water
train_12099,clear primary
train_17581,clear primary
train_26700,agriculture clear primary water
train_30386,cloudy
train_6677,clear primary
train_35444,bare_ground clear primary
train_10745,clear primary water
train_22363,agriculture clear primary water
train_17301,cloudy
train_14362,haze primary
